manga,stem,method,iou,precision,recall,f1,tp,fp,fn,inference_time_seconds
ARMS,000,standin,0.07990373422685569,0.0861069563990405,0.5258740294545987,0.14798306866502656,61024,647676,55019,0.0
ARMS,001,standin,0.001467258919615991,0.0014969081086597942,0.06896889542003429,0.0029302184500746863,2816,1878395,38014,0.0
ARMS,002,standin,0.01391294540357209,0.01425815769128476,0.36493441806408766,0.027444063056191202,24178,1671553,42075,0.0
ARMS,003,standin,0.003065015302838634,0.0030845074475125403,0.3266079891672309,0.0061112993795586915,4824,1559121,9946,0.0
ARMS,004,standin,0.0028188926435629845,0.002838439079892232,0.29045101942747303,0.005621937648446195,4231,1486377,10336,0.0
ARMS,005,standin,0.005697322506491144,0.005751743278448718,0.3758392077878483,0.011330093814492325,8957,1548310,14875,0.0
ARMS,006,standin,0.0024526171192962454,0.0024686409523802634,0.27423243851470824,0.004893233011539684,3412,1378725,9030,0.0
ARMS,007,standin,0.0031329774889765605,0.003155889636616464,0.30144781387308217,0.006246385193753615,4185,1321907,9698,0.0
ARMS,008,standin,0.0022100626544742435,0.0022215975171947723,0.298567929150179,0.0044103780970241434,3169,1423282,7445,0.0
ARMS,009,standin,0.002259704440671949,0.0022716233146789265,0.3010307194826192,0.00450921937829081,2979,1308418,6917,0.0
AisazuNihaIrarenai,000,standin,0.005926107920518411,0.0066073683662651655,0.054351867500422514,0.011782392113808528,4824,725270,83931,0.0
AisazuNihaIrarenai,001,standin,0.05954131581467406,0.06280910537604649,0.5336743092298648,0.11239073913581776,90778,1354522,79322,0.0
AisazuNihaIrarenai,002,standin,0.0044696190580435875,0.004531129560279867,0.24769689892305696,0.008899460915970839,7636,1677595,23192,0.0
AisazuNihaIrarenai,003,standin,0.0033618464266335223,0.003383357878037915,0.345873786407767,0.006701164567112813,5415,1595066,10241,0.0
AisazuNihaIrarenai,004,standin,0.009564381253479323,0.009762589906196729,0.3202296467586317,0.018947541001009066,16064,1629401,34100,0.0
AisazuNihaIrarenai,005,standin,0.01680659493966196,0.017186484477813447,0.4319288333233155,0.03305760411724961,28744,1643733,37804,0.0
AisazuNihaIrarenai,006,standin,0.009114883139768704,0.009268404760507418,0.3549567213428339,0.018065104958929115,14845,1586833,26977,0.0
AisazuNihaIrarenai,007,standin,0.008669636548052268,0.008800747499802369,0.367866525825411,0.01719023996344764,13582,1529696,23339,0.0
AisazuNihaIrarenai,008,standin,0.0067724324791028565,0.0068635393905972725,0.33783658166269015,0.013453750342420962,10903,1577636,21370,0.0
AisazuNihaIrarenai,009,standin,0.005440258884625819,0.005502696835949319,0.32407474208210085,0.010821645217709721,8984,1623670,18738,0.0
AkkeraKanjinchou,000,standin,0.07336293881406435,0.0830306517321059,0.38653084323712505,0.13669735773646421,89473,988117,142004,0.0
AkkeraKanjinchou,001,standin,0.004227750843609214,0.004252087000965415,0.4248528264415916,0.008419904429164918,5990,1402730,8109,0.0
AkkeraKanjinchou,002,standin,0.0005410152648791328,0.0005471882376612734,0.04576236404678843,0.0010814454512609994,446,814630,9300,0.0
AkkeraKanjinchou,003,standin,0.006031570579098084,0.00610864526684138,0.323427975617581,0.01199081769496787,8065,1312195,16871,0.0
AkkeraKanjinchou,004,standin,0.005999767034135473,0.00604649370789006,0.4370566990122275,0.011927969032883262,10044,1651084,12937,0.0
AkkeraKanjinchou,005,standin,0.004485050935254573,0.004526780765957343,0.3272927204750385,0.0089300501407734,7441,1636332,15294,0.0
AkkeraKanjinchou,006,standin,0.0038671758909733286,0.003923581002751189,0.21198016796519276,0.00770455690523211,6285,1595568,23364,0.0
AkkeraKanjinchou,007,standin,0.004922026777299841,0.004977173811773788,0.30758790869833436,0.00979583817678744,7479,1495181,16836,0.0
AkkeraKanjinchou,008,standin,0.004600485053987621,0.004661692337591959,0.25946983681606733,0.009158835024333858,7028,1500579,20058,0.0
AkkeraKanjinchou,009,standin,0.004936210616841487,0.005006578081831338,0.25992077043917766,0.009823928254732871,7611,1512589,21671,0.0
Akuhamu,000,standin,0.10493796448894555,0.11260267774619803,0.6065546073490399,0.18994363097566538,168735,1329764,109451,0.0
Akuhamu,001,standin,0.0016694273324524018,0.0016772123496679233,0.26452373930993806,0.0033332899795060263,2691,1601757,7482,0.0
Akuhamu,002,standin,0.006549561930939701,0.0066360651335232255,0.3344193477647943,0.01301388859257995,10675,1597959,21246,0.0
