image_id,manga,page_id,iou,precision,recall,f1,inference_time_seconds
ARMS/000,ARMS,000,0.0479,0.5969,0.0495,0.0915,0.2609
ARMS/001,ARMS,001,0.0013,0.0059,0.0017,0.0027,0.2306
ARMS/002,ARMS,002,0.2133,0.7212,0.2324,0.3516,0.3564
ARMS/003,ARMS,003,0.3334,0.5221,0.4798,0.5,0.3986
ARMS/004,ARMS,004,0.1952,0.3417,0.3128,0.3266,0.4331
ARMS/005,ARMS,005,0.2018,0.6287,0.2291,0.3359,0.4433
ARMS/006,ARMS,006,0.3432,0.6135,0.4378,0.511,0.3452
ARMS/007,ARMS,007,0.4053,0.6625,0.5107,0.5768,0.5666
ARMS/008,ARMS,008,0.2395,0.5646,0.2937,0.3864,0.6608
ARMS/009,ARMS,009,0.38,0.5758,0.5277,0.5507,0.9963
AisazuNihaIrarenai/000,AisazuNihaIrarenai,000,0.0503,0.2283,0.0606,0.0958,0.4526
AisazuNihaIrarenai/001,AisazuNihaIrarenai,001,0.0305,0.1218,0.0391,0.0591,0.7882
AisazuNihaIrarenai/002,AisazuNihaIrarenai,002,0.1854,0.373,0.2694,0.3128,0.7513
AisazuNihaIrarenai/003,AisazuNihaIrarenai,003,0.2314,0.4505,0.3224,0.3758,1.4624
AisazuNihaIrarenai/004,AisazuNihaIrarenai,004,0.2162,0.5626,0.2599,0.3556,0.6713
AisazuNihaIrarenai/005,AisazuNihaIrarenai,005,0.2311,0.5492,0.2852,0.3754,0.7022
AisazuNihaIrarenai/006,AisazuNihaIrarenai,006,0.119,0.3588,0.1512,0.2128,0.3312
AisazuNihaIrarenai/007,AisazuNihaIrarenai,007,0.1869,0.415,0.2537,0.3149,0.355
AisazuNihaIrarenai/008,AisazuNihaIrarenai,008,0.2173,0.4526,0.2949,0.3571,0.357
AisazuNihaIrarenai/009,AisazuNihaIrarenai,009,0.0958,0.2789,0.1273,0.1748,0.3854
AkkeraKanjinchou/000,AkkeraKanjinchou,000,0.1368,0.7171,0.1446,0.2407,0.4303
AkkeraKanjinchou/001,AkkeraKanjinchou,001,0.3092,0.5754,0.4006,0.4723,0.6049
AkkeraKanjinchou/002,AkkeraKanjinchou,002,0.0351,0.0853,0.0563,0.0679,0.2443
AkkeraKanjinchou/003,AkkeraKanjinchou,003,0.222,0.4363,0.3112,0.3633,0.5381
AkkeraKanjinchou/004,AkkeraKanjinchou,004,0.3033,0.5963,0.3817,0.4655,0.5021
